Community Reputation,Business Activity Observations,Informal Credit Relationships,Asset Ownership,Utility and Bill Payment Patterns,Local Market Standing,Participation in Welfare or Support Programs,Family and Dependents,Seasonal and Environmental Impact,Behavioral Indicators,Business Location and Infrastructure,Customer and Supplier Relationships,Observed Consistency,Training and Skill Development,Debt and Liabilities,Savings and Insurance,Aadhaar Card,Ration Card,Voter ID Card
Poor,149,Unknown,None,On Time,New Business,Enrolled in SHG,1,High Seasonal Variation,Indecisive,Remote Area,28,Irregular Operations,Ongoing Training,20885.49,Both Savings and Insurance,Not Verified,Antyodaya,Verified
Good,245,Unknown,Shop Equipment,No Records,Highly Popular,Multiple Programs,1,Moderate Seasonal Variation,High Risk-Taker,Home-Based,17,Regularly Open,Ongoing Training,20364.06,None,Not Verified,APL,Not Verified
Excellent,329,Good Credit History,None,Delayed Payments,Moderately Popular,None,2,Weather Sensitive,Cautious,Home-Based,23,Regularly Open,No Formal Training,13002.76,None,Not Verified,APL,Not Verified
Poor,121,Unknown,None,Partially Paid,Highly Popular,Enrolled in SHG,9,Moderate Seasonal Variation,Good Problem-Solver,Moderate Traffic,43,Regularly Open,Ongoing Training,7022.32,Both Savings and Insurance,Not Verified,BPL,Verified
Unknown,50,Unknown,Sewing Machine,Delayed Payments,Highly Popular,None,5,High Seasonal Variation,High Risk-Taker,Prime Location,46,Regularly Open,Completed Skill Training,11616.45,Chit Fund Savings,Not Verified,BPL,Not Verified
Unknown,224,Has Defaults,Sewing Machine,No Records,Average,Enrolled in SHG,6,Minimal Seasonal Variation,High Risk-Taker,Moderate Traffic,32,Regularly Open,Completed Skill Training,40069.63,Chit Fund Savings,Verified,Antyodaya,Verified
Average,163,Has Defaults,Multiple Assets,Delayed Payments,Highly Popular,Multiple Programs,10,Minimal Seasonal Variation,High Risk-Taker,Home-Based,47,Irregular Operations,Multiple Certifications,13061.1,Chit Fund Savings,Verified,BPL,Not Verified
Good,300,Unknown,Vehicle,Partially Paid,Low Footfall,Multiple Programs,1,Moderate Seasonal Variation,High Risk-Taker,Remote Area,22,Regularly Open,Completed Skill Training,25874.17,Both Savings and Insurance,Verified,Not Provided,Not Verified
Excellent,283,Good Credit History,Shop Equipment,Partially Paid,New Business,None,3,Weather Sensitive,Indecisive,Home-Based,13,Irregular Operations,Ongoing Training,35654.83,None,Verified,Not Provided,Verified
Poor,73,Good Credit History,Vehicle,Delayed Payments,Low Footfall,Multiple Programs,3,High Seasonal Variation,Good Problem-Solver,Prime Location,41,Regularly Open,Multiple Certifications,15785.78,None,Verified,Not Provided,Not Verified
Unknown,375,Unknown,Livestock,No Records,Average,None,6,Weather Sensitive,Good Problem-Solver,Moderate Traffic,50,Irregular Operations,No Formal Training,32052.89,Chit Fund Savings,Not Verified,BPL,Verified
Unknown,194,Good Credit History,Sewing Machine,No Records,Highly Popular,Enrolled in SHG,4,Moderate Seasonal Variation,High Risk-Taker,Moderate Traffic,17,Regularly Open,Completed Skill Training,27485.76,Both Savings and Insurance,Verified,APL,Not Verified
Average,319,Good Credit History,Sewing Machine,Partially Paid,Highly Popular,Enrolled in MUDRA,9,Weather Sensitive,Indecisive,Remote Area,28,Irregular Operations,Completed Skill Training,25150.07,None,Not Verified,Antyodaya,Verified
Unknown,82,Has Defaults,Vehicle,No Records,Average,Enrolled in SHG,9,Weather Sensitive,High Risk-Taker,Low Traffic Area,34,Regularly Open,Completed Skill Training,16614.08,Insurance Policy,Verified,APL,Verified
Excellent,112,Unknown,Vehicle,No Records,New Business,None,3,High Seasonal Variation,Indecisive,Home-Based,15,Irregular Operations,Ongoing Training,24191.74,Chit Fund Savings,Verified,Not Provided,Not Verified
Unknown,281,Good Credit History,Multiple Assets,No Records,New Business,Enrolled in SHG,5,Weather Sensitive,Good Problem-Solver,Remote Area,21,Irregular Operations,Completed Skill Training,5539.77,Chit Fund Savings,Verified,Not Provided,Not Verified
Poor,75,Good Credit History,Livestock,Delayed Payments,Average,None,4,High Seasonal Variation,Good Problem-Solver,Low Traffic Area,20,Irregular Operations,Completed Skill Training,34816.19,Insurance Policy,Verified,BPL,Verified
Excellent,490,Unknown,Multiple Assets,No Records,Average,Enrolled in SHG,6,Weather Sensitive,High Risk-Taker,Remote Area,2,Regularly Open,Completed Skill Training,18603.85,Insurance Policy,Verified,Antyodaya,Verified
Unknown,202,Good Credit History,Shop Equipment,Partially Paid,Average,Enrolled in MUDRA,7,Moderate Seasonal Variation,High Risk-Taker,Home-Based,41,Regularly Open,Completed Skill Training,7797.85,None,Verified,Not Provided,Not Verified
Average,7,Has Defaults,None,No Records,New Business,Enrolled in MUDRA,1,Minimal Seasonal Variation,Indecisive,Low Traffic Area,43,Regularly Open,No Formal Training,21078.01,Insurance Policy,Not Verified,Antyodaya,Verified
Poor,152,Good Credit History,Multiple Assets,On Time,Moderately Popular,None,5,High Seasonal Variation,Indecisive,Remote Area,28,Irregular Operations,Completed Skill Training,40867.83,Both Savings and Insurance,Not Verified,APL,Verified
Poor,288,Unknown,Livestock,Delayed Payments,Moderately Popular,None,8,Moderate Seasonal Variation,Good Problem-Solver,Remote Area,18,Irregular Operations,Multiple Certifications,39102.97,Chit Fund Savings,Not Verified,APL,Not Verified
Excellent,465,Good Credit History,Multiple Assets,No Records,Average,None,8,Moderate Seasonal Variation,Good Problem-Solver,Home-Based,4,Regularly Open,Multiple Certifications,20821.54,None,Not Verified,Not Provided,Verified
Good,283,Unknown,Sewing Machine,Partially Paid,Low Footfall,Enrolled in SHG,1,Moderate Seasonal Variation,Good Problem-Solver,Prime Location,23,Regularly Open,No Formal Training,42566.08,Both Savings and Insurance,Verified,APL,Not Verified
