Entrepreneur ID,Community Reputation,Daily Customers,Weekly Revenue (₹),Informal Credit History,Assets Owned,Last Utility Payment Date,Local Market Standing,Welfare Program Participation,Dependents,Seasonality Impact,Risk-Taking Score,Business Location Quality,Regular Customers,Training Completed,Outstanding Debt (₹),Savings (₹),Aadhaar Linked,Ration Card Type,Voter ID Linked
1,Average,18,10707,Defaults,"Bicycle, Inventory, None",2023-12-22,Low Footfall,False,4,Moderate,Low,Prime Location,30,None,9708,4243,False,Antyodaya,False
2,Good,31,19377,Good,"Bicycle, None, Inventory",2024-05-24,Medium Footfall,False,6,High,Low,Moderate Traffic,43,None,834,8890,False,Antyodaya,False
3,Average,18,8568,Good,"None, Livestock, Tools",2024-10-08,Popular,True,2,Low,Medium,Moderate Traffic,49,None,2608,7905,True,APL,True
4,Good,35,9203,Defaults,"Bicycle, Livestock",2024-02-21,Low Footfall,True,5,High,High,Moderate Traffic,22,Skill India Certified,2261,10233,False,Antyodaya,True
5,Average,50,6318,Defaults,"Sewing Machine, Motorbike, Bicycle",2024-05-16,Popular,False,3,Low,High,Moderate Traffic,14,None,8247,3574,True,BPL,True
6,Good,40,1070,Defaults,"None, Motorbike",2024-07-26,Medium Footfall,True,3,Moderate,Medium,Prime Location,12,Skill India Certified,4112,10312,True,APL,True
7,Average,40,17976,Good,"Motorbike, Inventory",2023-12-20,Medium Footfall,False,3,Low,Low,Moderate Traffic,9,Skill India Certified,5566,10409,False,Antyodaya,True
8,Average,22,9601,Defaults,Tools,2024-01-25,Low Footfall,False,2,Low,High,Moderate Traffic,13,Skill India Certified,9194,1103,False,APL,False
9,Good,48,10398,Good,"Inventory, Small Shop, Bicycle",2024-06-30,Medium Footfall,False,6,Moderate,Low,Moderate Traffic,39,Skill India Certified,6513,8573,True,Antyodaya,False
10,Average,37,6039,Defaults,"Bicycle, Livestock",2024-04-02,Low Footfall,False,0,Low,Medium,Moderate Traffic,25,Skill India Certified,2801,12950,False,Antyodaya,True
11,Poor,47,11502,Defaults,"None, Inventory, Motorbike",2024-08-21,Low Footfall,False,5,High,Low,Remote Location,50,None,1884,3600,False,BPL,False
12,Average,11,11297,Defaults,Bicycle,2024-05-19,Popular,False,3,Low,Low,Remote Location,7,None,100,14145,True,APL,True
13,Good,36,11889,Good,"Livestock, Inventory",2024-10-24,Popular,False,4,High,Medium,Moderate Traffic,33,Skill India Certified,1126,6550,False,Antyodaya,True
14,Poor,40,6555,Good,"Motorbike, None, Livestock",2024-06-13,Popular,False,0,Low,High,Prime Location,22,None,4160,6033,False,Antyodaya,True
15,Average,19,18096,Good,"Tools, Inventory, Sewing Machine",2024-06-03,Popular,True,1,Moderate,High,Prime Location,43,Skill India Certified,6722,19023,True,Antyodaya,True
16,Good,49,17333,Defaults,"Bicycle, Inventory",2024-04-22,Medium Footfall,False,5,Low,High,Remote Location,20,None,9752,19483,False,BPL,True
17,Average,25,12516,Good,Bicycle,2024-08-07,Popular,True,4,High,Low,Moderate Traffic,28,Skill India Certified,1817,14298,True,APL,False
18,Average,48,18829,Defaults,"Sewing Machine, Tools, Bicycle",2024-05-13,Popular,False,0,Moderate,Medium,Moderate Traffic,15,Skill India Certified,4537,448,True,APL,True
19,Average,7,14382,Defaults,"Tools, Small Shop, Livestock",2024-04-06,Medium Footfall,True,5,High,Low,Moderate Traffic,20,None,9905,16406,True,Antyodaya,True
20,Poor,25,7697,Good,"Livestock, Bicycle, Sewing Machine",2024-01-24,Popular,True,6,High,High,Remote Location,10,Skill India Certified,833,3620,False,BPL,False
21,Good,17,13739,Good,"Motorbike, Livestock",2024-04-22,Medium Footfall,False,0,Moderate,Medium,Remote Location,18,None,6349,14492,True,Antyodaya,False
22,Average,38,9145,Defaults,"Bicycle, Inventory, Tools",2024-02-26,Low Footfall,False,6,Moderate,Medium,Prime Location,11,None,9447,12371,False,Antyodaya,True
23,Average,25,1036,Good,"Bicycle, Inventory",2024-04-09,Medium Footfall,True,6,High,Low,Moderate Traffic,17,Skill India Certified,335,6269,False,Antyodaya,False
24,Poor,46,14566,Defaults,"Bicycle, Tools, Livestock",2024-02-04,Popular,True,2,High,Medium,Moderate Traffic,25,None,4738,15670,False,BPL,False
25,Average,41,12836,Defaults,"Small Shop, None",2024-10-31,Popular,False,3,Low,Medium,Moderate Traffic,18,None,9800,15341,True,Antyodaya,False
26,Good,49,13353,Good,Livestock,2024-05-07,Low Footfall,False,4,Moderate,Medium,Prime Location,28,Skill India Certified,4025,18265,True,APL,True
27,Poor,5,15159,Good,"Bicycle, Livestock",2024-03-20,Medium Footfall,False,5,High,Medium,Prime Location,36,Skill India Certified,3776,16263,True,APL,False
28,Average,40,4270,Good,"Bicycle, Small Shop",2024-10-03,Medium Footfall,False,4,Moderate,Medium,Prime Location,19,Skill India Certified,5615,19679,False,APL,False
